Location_name,Latitude,Longitude,Category,Sub_Category,Literature,Cultural_Significance,Distinctive_Feature,Official_Website
Crowhurst Yew,51.209389,-0.0105,Ancient Landscape,Ancient Tree,"Yew, allegedly 4000 years old. The Woodland Trust currently says it is thought to be at least 1,250 years old, while noting that some reports place it nearer 4,000 years.  In 1820 villagers hollowed out the interior and discovered a cannonball embedded deep in the wood - fired during the English Civil War between 1642 and 1651.","The farm opposite the church was a Royalist stronghold during the Civil War, and Cromwell's forces almost certainly targeted it. The cannonball lodged in this living tree is one of the most extraordinary physical connections to that conflict anywhere in England.",A wooden door has been built into the tree trunk - the date of its installation unknown beyond being after 1820. Visitors can open it and step inside a living organism that was already ancient when Rome fell.,https://en.wikipedia.org/wiki/Crowhurst_Yew
"Big Belly Oak, Savernake Forest",51.3905,-1.695,Ancient Landscape,Ancient Tree,"Ancient sessile oak (Quercus petraea) growing beside the A346 within Savernake Forest, Wiltshire. Estimated to be approximately 1,000–1,100 years old, it is regarded as the oldest surviving oak in the forest and one of the oldest living oaks in Britain. The tree has a girth of over 11 metres and a vast hollow cavity within its trunk, created through centuries of growth and natural pollarding. A metal support band was installed in the early twenty-first century to help prevent the ancient trunk from splitting. The oak remains alive and is one of the most prominent veteran trees in Savernake Forest.","The Big Belly Oak is one of the most celebrated trees in Britain and was selected as one of the Fifty Great British Trees during Queen Elizabeth II's Golden Jubilee in 2002. The tree has stood in Savernake Forest since around the time of the Norman Conquest and forms part of one of Europe's most important concentrations of veteran trees. Its immense size, hollow interior and distinctive appearance have made it a symbol of the forest's thousand-year history. The oak is frequently cited as one of the defining landmarks of Savernake and has become an emblem of Britain's ancient woodland heritage.","With a girth of more than 11 metres, this is one of the largest oaks in Britain. The name comes from its massive swollen trunk, which bulges outward like a great belly.",https://en.wikipedia.org/wiki/Big_Belly_Oak
Bowthorpe Oak,52.7252,-0.421247,Ancient Landscape,Ancient Tree,"Ancient pedunculate oak (Quercus robur) growing at Bowthorpe Park Farm near Manthorpe, Lincolnshire. Estimated to be approximately 1,000 years old, it is one of the oldest and largest surviving oak trees in Britain. The tree has a girth of more than 13 metres and an enormous hollow trunk, making it one of the widest living trees in the United Kingdom. For centuries the hollow interior has been large enough to accommodate people, livestock and even small gatherings. The oak remains alive and continues to be carefully managed to protect its ancient structure and root system.","The Bowthorpe Oak is one of Britain's most celebrated ancient trees and was selected as one of the Fifty Great British Trees in 2002. Historic records describe visitors dining and holding gatherings inside its hollow trunk, with eighteenth-century owners reportedly creating a room within the tree capable of seating around twenty guests. The oak has appeared in documentaries, record books and heritage publications, becoming a symbol of England's ancient woodland heritage. Standing on the site of the deserted medieval village of Bowthorpe, it provides a tangible link to more than a millennium of English rural history.","The girth is recorded at well over 12 metres, making it one of the largest oaks in England by circumference. The fact that it still lives and grows despite being almost entirely hollow speaks to the extraordinary resilience of ancient oaks.",https://en.wikipedia.org/wiki/Bowthorpe_Oak
Marton Oak,53.2167,-2.35,Ancient Landscape,Ancient Tree,"Ancient pedunculate oak (Quercus robur) growing in the village of Marton, Cheshire. Estimated to be approximately 1,200 years old, it is one of the oldest surviving oak trees in Britain. The tree is highly fragmented, with several large sections of trunk surrounding a completely hollow centre, all connected by a single root system. Despite centuries of decay and splitting, it remains alive and continues to produce acorns. With a girth of around 14 metres, it is regarded as the widest living oak tree in the United Kingdom and one of the largest in Europe. The tree stands on private land and has been recognised as a Heritage Tree, a Tree of National Special Interest and one of the Fifty Great British Trees.",The Marton Oak has been a landmark in Cheshire for centuries and was already being described as one of Britain's greatest trees in the early nineteenth century. Local traditions include May Day celebrations around the tree and folk beliefs that pieces of its bark could bring good luck or help cure ailments. Its immense age means it was already growing during the Anglo-Saxon period and has survived through more than a millennium of English history. Today it is celebrated as one of Britain's most important ancient trees and a symbol of the country's surviving medieval landscape.,The sheer girth of this tree - 14 metres - is difficult to comprehend until you stand before it. It would take eight or nine adults with arms outstretched to encircle the trunk.,https://en.wikipedia.org/wiki/Marton_Oak
"Knightwood Oak, New Forest",50.8572,-1.62278,Ancient Landscape,Ancient Tree,"Ancient pollarded pedunculate oak (Quercus robur) growing in Knightwood Inclosure near Bolderwood in the New Forest, Hampshire. Estimated to be more than 500 years old, the tree is the largest oak in the New Forest, with a girth of approximately 7.4 metres. It is a classic example of a veteran pollard, with massive spreading limbs emerging from a broad trunk shaped by centuries of traditional woodland management. The tree remains alive and continues to grow, protected by fencing and careful conservation measures.","Known as the ""Queen of the Forest"", the Knightwood Oak is the most famous tree in the New Forest and has attracted visitors since Victorian times. Its distinctive pollarded form provides a visible reminder of the traditional woodland practices once used throughout the royal forest to produce timber and deer fodder. The oak has become a symbol of the New Forest's ancient landscape and its long history of commoning, forestry and royal hunting. Today it is one of the most visited veteran trees in Britain and serves as an ambassador for the conservation of ancient trees and wood-pasture habitats.",Pollarding - cutting branches above grazing height - allowed trees to live far longer than they otherwise would. The Knightwood Oak is a living demonstration of this ancient woodland management technique.,https://en.wikipedia.org/wiki/Knightwood_Oak
"Eagle Oak, New Forest",50.866,-1.615,Ancient Landscape,Ancient Tree,"Ancient pollarded pedunculate oak (Quercus robur) growing within the New Forest, Hampshire. Estimated to be several centuries old, the tree is one of the forest's notable veteran oaks and displays the characteristic broad trunk, heavy limbs and hollowing associated with long-term pollarding. The oak stands within a landscape shaped by centuries of grazing, commoning and woodland management, helping to preserve the distinctive open-grown form seen in many of the New Forest's oldest trees.","The Eagle Oak forms part of the internationally important collection of ancient and veteran trees that make the New Forest one of Europe's most significant surviving wood-pasture landscapes. Its name derives from the resemblance of part of the tree's structure to an eagle with outstretched wings. Although less famous than the Knightwood Oak, it is valued as an example of the veteran trees that have become symbols of the New Forest's long history as a royal hunting forest established by William the Conqueror in the eleventh century.","The white-tailed eagle has since been reintroduced to parts of Britain, but has not returned to the New Forest. This oak is the silent witness to the moment that absence began.",https://en.wikipedia.org/wiki/New_Forest
"Gritnam Oak, New Forest",50.878,-1.582,Ancient Landscape,Ancient Tree,"Ancient pollarded pedunculate oak (Quercus robur) growing near Gritnam in the New Forest, Hampshire. Estimated to be several hundred years old, the tree is a veteran oak with a broad trunk, extensive deadwood habitat and the distinctive form created through centuries of pollarding and grazing. It survives as part of the historic wood-pasture landscape that characterises the New Forest and supports a wide range of specialist wildlife associated with ancient trees.","The Gritnam Oak is one of the most important surviving trees in the New Forest because it escaped the extensive felling that transformed the forest during the seventeenth and eighteenth centuries. A survey in 1608 recorded around 124,000 trees suitable for naval timber in the New Forest, but by 1707 fewer than 12,500 remained. Most mature oaks were cut down to supply the Royal Navy. The Gritnam Oak survived this period and is regarded as one of the few remaining ancient ""maiden"" oaks that grew naturally rather than being shaped by pollarding. As a result, it provides a rare living link to the appearance of the medieval New Forest before large-scale timber extraction altered the landscape.",To stand before this tree is to stand before a survivor of an ecological catastrophe that stripped the New Forest almost bare. The ships it did not become may have sailed at Trafalgar.,https://en.wikipedia.org/wiki/New_Forest
"St Nicholas Yew, Brockenhurst",50.8167,-1.5667,Ancient Landscape,Ancient Tree,"Ancient common yew (Taxus baccata) growing in the churchyard of St Nicholas Church, Brockenhurst, Hampshire. The tree is estimated to be several hundred years old and exhibits many characteristics typical of veteran yews, including a broad trunk, hollowing and regenerative growth. Situated beside one of the oldest churches in the New Forest, it forms part of a historic churchyard landscape that has evolved over many centuries. The yew remains a prominent feature of the village and an important survivor of the area's natural and cultural heritage.","The tree is closely associated with the long history of St Nicholas Church, parts of which date from the Norman period. Like many ancient churchyard yews, it may have served as a landmark, gathering place and symbol of continuity for generations of local residents. Its location within the New Forest gives it additional significance as part of a landscape shaped by centuries of royal forest management, commoning and woodland traditions. The tree stands as a living link between the medieval history of Brockenhurst and the wider heritage of the New Forest.","A yew with a girth of 6 metres is likely to be at least 1000 years old. This one has watched the Norman church beside it rise from nothing, age, and still stand.",https://en.wikipedia.org/wiki/Brockenhurst
"Moseley Bog, Birmingham",52.4333,-1.8667,Ancient Landscape,Ancient Tree,"Ancient wet woodland and bog habitat located in the Moseley and Yardley Wood districts of Birmingham. The site contains ponds, streams, alder carr and veteran woodland, including a notable oak estimated to be approximately 300 years old. Developed on glacial deposits left after the last Ice Age, the bog represents a rare surviving fragment of the natural landscape that once covered much of the West Midlands. Today it forms part of the Moseley Bog and Joy's Wood Local Nature Reserve and is recognised for both its ecological and historical importance.","Moseley Bog is internationally known for its association with J. R. R. Tolkien, who lived nearby during childhood and later recalled the area as a place of adventure and imagination. The woodland, pools and ancient landscape are widely regarded as influences on elements of Middle-earth, particularly the Old Forest and other wooded settings that appear throughout The Hobbit and The Lord of the Rings. The site has become an important destination for Tolkien enthusiasts and forms part of Birmingham's literary heritage. Conservation campaigns during the twentieth century helped protect the bog from development, preserving a landscape that continues to inspire visitors today.","A remarkable survival of ancient woodland in the heart of a major city. The bog itself is a rare habitat, and the 300-year-old oak at its centre predates Birmingham's industrial transformation entirely.",https://en.wikipedia.org/wiki/Moseley_Bog
"Fraternal Four, Borrowdale",54.5167,-3.15,Ancient Landscape ,Ancient Tree,"Common yew (Taxus baccata) grove located on a steep hillside above Seathwaite in Borrowdale, Cumbria, within the Lake District National Park. The group originally consisted of four exceptionally ancient yews, giving rise to the name ""Fraternal Four"". The largest surviving trees have girths exceeding 7 metres and are characterised by hollow trunks, extensive deadwood, and fragmented crowns typical of very old yews. One of the original trees collapsed during storms in the twentieth century, leaving three principal survivors and associated remains. The grove is best known through William Wordsworth's poem Yew Trees (1803), in which he referred to them as the ""fraternal Four of Borrowdale"". The site was later recognised as one of the UK's Great Trees during Queen Elizabeth II's Golden Jubilee celebrations.","The Borrowdale Yews are among Britain's most celebrated literary trees and helped shape the Romantic vision of the Lake District. Wordsworth used them as symbols of permanence, endurance and the sublime power of nature, elevating a remote grove of ancient yews into a nationally recognised cultural landmark. For generations visitors have made pilgrimages to the site to experience the landscape that inspired one of the defining poets of the Romantic movement. The loss of one of the original four trees through storm damage reinforced their role as symbols of both longevity and fragility, demonstrating that even trees that have survived for centuries remain vulnerable to natural forces. Today the grove represents the intersection of natural heritage, literature and landscape conservation, and remains one of the most iconic collections of ancient trees in Britain.  These yews are thought to be over 1000 years old.","To visit these trees is to walk into a poem. The setting in the Borrowdale valley, with its dramatic fells, is unchanged from the landscape Wordsworth described. The trees themselves are as he found them.",https://www.ancient-yew.org/userfiles/file/Borrowdale1.pdf
"Waterloo Beech, Lowther, Cumbria",54.55,-2.7167,Ancient Landscape,Ancient Tree,"Ancient European beech (Fagus sylvatica) growing on the Lowther Estate near Lowther Castle, Cumbria. The tree stands within a historic landscape whose association with woodland management dates to 1283, when King Edward I granted the estate Free Warren rights and the first deer park was established. The Waterloo Beech is a mature veteran beech notable for its great height, broad crown and commanding position within the estate. Its name commemorates the Battle of Waterloo (1815), indicating that the tree has been recognised as a landmark for at least two centuries. The tree forms part of the wider veteran tree population of the Lowther Estate, one of northern England's most important historic designed landscapes.","The Waterloo Beech links more than seven centuries of landscape history. It stands within an estate whose origins as a medieval deer park reach back to the reign of Edward I, preserving a connection to a landscape that would once have combined grazing, hunting and ancient wood pasture. Its association with Waterloo ties the tree to one of the defining events of European history, transforming it from a notable veteran beech into a living memorial embedded within the Cumbrian landscape. The tree's survival provides a tangible link between medieval land management, Georgian and Victorian estate culture, and modern conservation. Visitors encounter not merely an old tree but a witness to centuries of social, political and environmental change on one of Britain's great historic estates.",Ancient beeches are among the most dramatic of all veteran trees - their smooth grey trunks and spreading canopies giving them an almost architectural quality.,https://en.wikipedia.org/wiki/Lowther_Castle
"Meavy Oak, Devon",50.4858,-4.0514,Ancient Landscape,Ancient Tree,"Ancient pedunculate oak (Quercus robur) standing on the village green at Meavy, on the south-western edge of Dartmoor in Devon. The tree is estimated to be at least 900 years old and is traditionally said to have been planted during the reign of King John (1199–1216). It has a girth of approximately 6.1 metres and is now largely hollow, with surviving living sections supporting the remaining canopy. The oak has been supported by props and conservation work since the twentieth century to prolong its life. It is recorded as an Ancient Tree, a Tree of National Special Interest, a Heritage Tree and was shortlisted for Woodland Trust Tree of the Year in 2017. The tree is known locally as the Meavy Oak or Royal Oak and stands beside St Peter's Church and the village green","For nearly a millennium the Meavy Oak has been the centre of village life. Tradition holds that before St Peter's Church was built, local people gathered beneath its branches for worship, giving it the character of a medieval Gospel Oak. A stone cross was later erected nearby, reinforcing its role as a focal point for the community. Over the centuries the tree became the setting for fairs, feasts and celebrations; its crown was once trimmed to support a platform where villagers gathered during festivals, and in 1826 nine people reportedly dined inside its hollow trunk. Local folklore also connects it with King Charles II's flight after the Civil War, helping to establish the name ""Royal Oak"". More than any single historical event, the tree's significance lies in the fact that the village grew around it rather than the other way round. Generations of residents have worshipped, celebrated, traded, socialised and marked the passing of time beneath its branches, making it one of Devon's most enduring symbols of continuity between landscape and community.",The tree stands on the village green directly outside the Royal Oak pub - itself named after the tree. On summer evenings the pub tables sit beneath branches that were growing when the Domesday Book was already two centuries old.,"https://en.wikipedia.org/wiki/Meavy,_Devon"
"Darley Oak, Cornwall",50.53396,-4.43382,Ancient Landscape,Ancient Tree,"Ancient pedunculate oak (Quercus robur) growing near Linkinhorne on the eastern edge of Bodmin Moor, Cornwall. Known as the Darley Oak, it is one of Cornwall's most celebrated veteran trees and is estimated to be many centuries old. The tree has developed a broad hollow trunk and heavily weathered form typical of great age, creating cavities and sheltered spaces within its structure. Standing in a landscape shaped by farming and moorland traditions, it has long attracted attention for its unusual appearance and longevity. The tree is recorded as an ancient tree and has become one of the best-known veteran oaks in Cornwall.","For centuries the Darley Oak has occupied a special place in local folklore. Its hollow trunk and distinctive appearance encouraged generations of local people to associate it with supernatural forces, giving rise to stories, superstitions and traditions that treated the tree with a mixture of respect and caution. While the precise beliefs changed over time, the oak remained a focal point for the enduring relationship between rural communities and the natural world. Unlike trees remembered for famous battles or historical figures, the Darley Oak is important because it preserves something older and more universal: the tendency of people to attach meaning, mystery and story to remarkable trees. It stands as a surviving reminder of Cornwall's rich tradition of folklore and the role ancient trees once played in shaping local belief and imagination.",The hollow interior of the Darley Oak is large enough to enter. Bodmin Moor has a particular quality of wildness that gives its ancient trees an extra dimension of strangeness.,https://en.wikipedia.org/wiki/Darley_Oak
"Domesday Oak, Ashton Court",51.45,-2.65,Ancient Landscape,Ancient Tree,"Ancient pedunculate oak (Quercus robur) standing within Ashton Court Estate near Bristol. Estimated to be around 700 years old, the tree grows in a historic parkland landscape recorded in the Domesday Book of 1086, although the oak itself post-dates that survey by several centuries. The veteran tree has a massive hollowing trunk and extensive structural supports, including timbers and cables installed following partial collapse. Despite significant loss of its original crown, it remains one of the most impressive ancient trees on the estate and is recognised as an important survivor of Bristol's historic parkland landscape.","The Ashton Court Oak provides a living link to more than seven centuries of local history. It has stood throughout the development of Ashton Court from medieval manor to one of the great country estates of south-west England, witnessing the growth of Bristol from a regional trading port into a major city. Generations of estate workers, landowners and visitors have passed beneath its branches, while the tree itself has survived storms, changing land use and the gradual transformation of the surrounding landscape. Conservation efforts to support the ageing trunk reflect a wider commitment to preserving Britain's veteran trees as irreplaceable witnesses to the past. Today the oak serves as a reminder that parts of the modern landscape are far older than the city that now surrounds them.",The trunk is held together by supporting timbers and wires following partial collapse. Even in its reduced state it is a commanding presence.,https://en.wikipedia.org/wiki/Ashton_Court
Tortworth Chestnut,51.6373,-2.4284,Ancient Landscape,Ancient Tree,"Ancient sweet chestnut (Castanea sativa) growing at Tortworth, Gloucestershire. The tree is generally regarded as one of the oldest sweet chestnuts in Britain and is commonly estimated to be at least 600 years old, with some estimates suggesting a much greater age. It was already considered a remarkable veteran tree by the eighteenth century and was described as ancient when measured in 1776. Historical records indicate that it served as a boundary marker during the reign of King Stephen (1135–1154), implying that it was already a mature tree at that time. Over the centuries the chestnut has developed a massive hollow trunk and extensive low branches, many of which rooted where they touched the ground, creating new stems and giving the appearance of a small grove formed from a single original tree. The tree remains one of Britain's most celebrated veteran trees.","The Tortworth Chestnut occupies a unique place in British tree history because it has been recognised as extraordinary for centuries. Documentary references suggest that it was already an established landmark in the twelfth century, making it one of the few trees in Britain whose significance can be traced through such a long historical record. Antiquarians, naturalists and visitors have recorded and measured the tree since at least the eighteenth century, while a plaque installed in 1800 described it as a ""wonder of nature"" — a distinction that itself is now more than two centuries old. The chestnut has therefore been admired across successive generations not because of a single event or famous association, but because people repeatedly recognised it as something exceptional. Its survival provides a rare living connection to medieval England and illustrates how ancient trees can become cultural landmarks in their own right.",A plaque placed on the tree in 1800 describes it as a wonder of nature. That plaque is now itself over 200 years old.,https://en.wikipedia.org/wiki/Tortworth_Chestnut
"Bulbarrow Yew, Dorset",50.8167,-2.2833,Ancient Landscape,Ancient Tree,"Ancient common yew (Taxus baccata) growing near Bulbarrow Hill in Dorset. The tree is notable for its extensive layering habit, whereby branches touching the ground develop roots and form new stems. This natural process has created a complex network of living growth around the original trunk, making it difficult to distinguish where the parent tree ends and successive generations begin. The resulting structure covers a substantial area and represents one of the finest examples of a naturally layering yew in Britain.","The Bulbarrow Yew illustrates one of nature's most remarkable strategies for longevity. Through continuous layering, the tree effectively renews itself over centuries, blurring the boundary between a single organism and successive generations of growth. It challenges conventional ideas about ageing and survival, demonstrating how ancient yews can persist long after their original trunks have declined. The tree has become an important example of the resilience and regenerative power that has helped yews remain part of the British landscape for millennia.","This tree can only be fully appreciated by stepping inside it and clambering over its large, low branches - an unusual and memorable experience.",https://en.wikipedia.org/wiki/Bulbarrow
