Location_name,Literature,Cultural_Significance,Distinctive_Feature,Latitude,Longitude,Google_Maps_Link,Official_Website,Category,,,,,
Battle of Edgehill 1642,The English Civil War - Diane Purkiss; The English Civil War: A Military History - Peter Gaunt,"The Battle of Edgehill, fought on 23 October 1642 in Warwickshire, was the first major pitched battle of the English Civil War, bringing King Charles I's royalist army into direct confrontation with Parliament's main field force under the Earl of Essex. Both sides deployed on open ground below the Edgehill escarpment, and after hours of cavalry charges, infantry firefights and local breakthroughs, the fighting ended inconclusively, with neither army destroyed and both able to withdraw. Even so, Edgehill demonstrated that the war would not be decided quickly, revealed the strengths of royalist cavalry and the weaknesses of command and control on both sides, and set the pattern for large scale engagements to come. Contemporary accounts disagree on exact figures, but modern estimates often suggest that perhaps 1,000 to 1,500 men were killed and several thousand wounded, shared between the two armies.","The Edgehill battlefield today is a largely rural landscape of open fields, hedgerows and gentle slopes beneath the prominent escarpment that gave the battle its name, with long views across the plain where the two armies deployed. The basic relationship between the high ground and the lower farmland remains visible, helping visitors understand how royalist troops descended from the ridge to engage Parliamentarian forces on the plain. Public roads and footpaths cross the area, and there are viewpoints and monuments that mark key locations, although modern agriculture and some development have altered field boundaries. There is no single large visitor centre focused solely on the battle, but interpretation boards, local markers and guidebooks, combined with roadside parking and village access points, allow interested visitors to explore significant parts of the battlefield on foot or by car.",52.137909,-1.48636,"https://www.google.com/maps?q=52.137909,-1.48636",https://www.battlefieldstrust.com/resource-centre/civil-war/battleview.asp?BattleFieldId=3,Military,,,,,
Battle of Evesham 1265,"The Reign of Henry III - David Carpenter; The First English Revolution: Simon de Montfort, Henry III and the Barons' War - Adrian Jobson","The Battle of Evesham, fought on 4 August 1265 in Worcestershire, was the climactic encounter of the Second Barons' War, pitting King Henry III and his son Prince Edward against the rebel forces of Simon de Montfort, Earl of Leicester. Edward outmanoeuvred de Montfort, lured away parts of the rebel army, and then attacked his depleted force near Evesham in a battle described by contemporaries as more of a massacre than a conventional engagement. The royal victory effectively crushed the baronial reform movement centred on de Montfort, who was killed on the field and brutally dismembered, and it allowed the crown to restore royal authority even though some pockets of resistance continued. Medieval chroniclers emphasise the heavy losses among the rebels, with many of de Montfort's leading supporters killed alongside him, while royal casualties appear to have been significantly lighter, though exact numbers are not known.","The Evesham battlefield lies on a loop of the River Avon south of the town, where gentle ridges and river meadows framed the ground on which de Montfort's army was trapped and overwhelmed. Much of the area remains agricultural, with fields and hedgerows that help visitors appreciate the limited options available to the rebels once the royalists had seized the surrounding high ground. Modern Evesham has expanded across parts of the wider landscape, but key areas of the battlefield are still accessible via roads, footpaths and riverside walks, supplemented by monuments and interpretive features. There is no large stand alone visitor centre solely for the battle, yet local heritage organisations and guidebooks provide detailed reconstructions, and parking in and around the town makes it relatively straightforward to explore the surviving parts of the site.",52.104047,-1.943094,"https://www.google.com/maps?q=52.104047,-1.943094",https://www.battlefieldstrust.com/resource-centre/medieval/battleview.asp?BattleFieldId=14,Military,,,,,
Battle of Flodden 1513,Flodden: A Scottish Tragedy - Peter Reese; Flodden 1513: Scotland's Greatest Defeat - John Sadler,"The Battle of Flodden, fought on 9 September 1513 near Branxton in Northumberland, was a major clash between a Scottish army led by King James IV and an English force commanded in Henry VIII's absence by Thomas Howard, Earl of Surrey. James had invaded northern England in support of France under the Auld Alliance, but English manoeuvres and artillery forced the Scots from their strong initial position onto more difficult ground. The resulting battle ended in a devastating Scottish defeat: James IV was killed along with much of his nobility and many experienced soldiers, leaving Scotland politically and militarily shaken. Contemporary and later estimates vary widely, but Scottish losses may have reached ten thousand or more killed, while English casualties were far lower, though still significant, making Flodden one of the bloodiest battles ever fought between the two kingdoms.","The Flodden battlefield today is a broad, open landscape of rolling fields and low ridges with long views across the Northumberland countryside, still largely agricultural in character. The contours of Branxton Hill and the surrounding slopes help visitors understand how changes of position and ground conditions influenced the Scottish advance and the effectiveness of English billmen and artillery. A network of footpaths, including a way marked battlefield trail, allows people to walk key parts of the site, supported by information boards and a prominent granite cross that commemorates those who died. There is parking near the village and at designated points around the battlefield, but no large central visitor centre, so interpretation relies on on- site panels, guidebooks and external resources that explain the course and significance of the battle.",55.627294,-2.175331,"https://www.google.com/maps?q=55.627294,-2.175331",https://www.battlefieldstrust.com/resource-centre/early-modern/battleview.asp?BattleFieldId=15,Military,,,,,
Battle of Hastings 1066,1066: The Year of the Conquest - David Howarth; The Norman Conquest - Marc Morris,"The Battle of Hastings on 14 October 1066 in Sussex pitted King Harold Godwinson's English army against an invading Norman force led by William, Duke of Normandy, in a decisive struggle for the English crown. After a day of intense fighting on the slopes of Senlac Hill, repeated Norman assaults and feigned retreats finally broke the English shield wall, Harold was killed and his army collapsed, leaving the road to London open. William's victory ended Anglo Saxon royal rule and allowed him to be crowned king, bringing a new Norman aristocracy, reshaping landholding and church leadership, and tying England more closely to continental Europe. Contemporary accounts and modern estimates vary, but several thousand men on both sides are thought to have been killed or wounded, with especially heavy losses among Harold's infantry and household troops who held the ridge for most of the day.","Today the battlefield lies in and around the town of Battle in East Sussex, where the core slopes of Senlac Hill survive as open grass and meadow beneath the remains of Battle Abbey, founded by William near the site of the fighting. The preserved fields, woodland edges and shallow valley still allow visitors to visualise the English defensive line on the ridge and the ground over which Norman infantry and cavalry advanced. The site is managed as a major heritage attraction with a visitor centre, museum displays and audio visual interpretation, along with a marked battlefield trail that follows sections of the original ground. There is on-site parking, facilities and relatively easy access to key viewpoints, making Hastings one of the best interpreted and most accessible medieval battlefields in England.",50.911665,0.485233,"https://www.google.com/maps?q=50.911665,0.485233",https://www.battlefieldstrust.com/resource-centre/viking/battleview.asp?BattleFieldId=17,Military,,,,,
Battle of Homildon Hill 1402,The Wars of the Roses and the Hundred Years War - A.J. Pollard; Henry IV - Chris Given-Wilson,"The Battle of Homildon Hill, fought on 14 September 1402 near Wooler in Northumberland, saw an English force under Henry Percy, Earl of Northumberland, and his son Henry 'Hotspur' Percy confront a Scottish army led by Archibald Douglas, Earl of Douglas. The Scots, returning from a raid into northern England, found their path blocked and took position on rising ground, but were subjected to devastating fire from English longbowmen who inflicted heavy losses before any large-scale hand-to-hand fighting could develop. The battle ended in a crushing English victory, with Douglas and many Scottish nobles captured, reinforcing the military reputation of the Percies and the effectiveness of English archery late in the Hundred Years War period. Contemporary chronicles emphasise the scale of Scottish casualties, possibly several thousand killed or wounded, while English losses appear to have been comparatively light, though exact numbers are uncertain.","The Homildon Hill battlefield remains a largely open, rural landscape of sloping fields and rough ground in the Cheviot foothills, with broad views over the surrounding countryside that convey the exposed position of the Scottish troops under arrow fire. The contours of the hill and neighbouring ridges still help visitors understand how elevation and distance favoured the English archers and restricted the Scots' ability to close quickly. There is no major visitor centre dedicated solely to the battle, and access is mainly via minor roads and public footpaths that cross farmland and rough pasture. Interpretation is provided through guidebooks, online resources and some local information, so visitors generally need background material and maps to relate present-day features to the positions of the opposing armies.",55.552528,-2.050196,"https://www.google.com/maps?q=55.552528,-2.050196",https://www.battlefieldstrust.com/resource-centre/medieval/battleview.asp?BattleFieldId=18,Military,,,,,
Battle of Hopton Heath 1643,The English Civil War - Diane Purkiss; The English Civil War: A Military History - Peter Gaunt,"The Battle of Hopton Heath, fought on 19 March 1643 near Stafford, brought a Parliamentarian force under Sir John Gell and Sir William Brereton into conflict with a royalist army led by the Earl of Northampton. The fighting on the open heath was hard-pressed and somewhat indecisive: Parliament's troops held parts of the field and captured some royalist guns, but they eventually withdrew, while the royalists failed to turn the engagement into a clear strategic victory. The battle is best remembered for the death of the Earl of Northampton, a prominent royalist commander, whose loss was a severe blow to royalist morale in the Midlands. Contemporary accounts suggest that casualties on both sides were in the hundreds rather than the thousands, with the royalists suffering the more significant political loss through Northampton's fall.","The Hopton Heath battlefield today is an area of gently rolling farmland and open ground north-east of Stafford, with fields, hedgerows and lanes replacing the more extensive heathland that existed in the seventeenth century. Although some of the original open common has been enclosed and altered by modern agriculture, the general sense of exposed, slightly elevated ground remains, helping visitors imagine cavalry and infantry manoeuvring across the landscape. There is no major visitor centre devoted solely to the battle, and access is mostly via minor roads and public footpaths that cross or border the historic area. Interpretation is limited to local information and external battlefield guides, so visitors usually rely on maps and written accounts to relate present-day features to the positions held by royalist and Parliamentarian forces.",52.836333,-2.068627,"https://www.google.com/maps?q=52.836333,-2.068627",https://www.battlefieldstrust.com/resource-centre/civil-war/battleview.asp?BattleFieldId=19,Military,,,,,
Battle of Langport 1645,The English Civil War - Diane Purkiss; The English Civil War: A Military History - Peter Gaunt,"The Battle of Langport, fought on 10 July 1645 in Somerset, saw Sir Thomas Fairfax's New Model Army and forces under Oliver Cromwell confront a royalist field army commanded by Lord Goring. Following closely on the Parliamentarian victory at Naseby, Fairfax pressed the royalists westward and caught them near Langport, where disciplined Parliamentarian infantry and cavalry attacked up difficult ground and broke Goring's army after sharp fighting. Langport effectively destroyed the last significant royalist field force in the West Country, clearing the way for a systematic reduction of remaining royalist strongholds and contributing to the collapse of King Charles I's military position by the end of 1646. Contemporary accounts and modern estimates suggest that royalist casualties and prisoners numbered in the thousands when rout and pursuit are taken into account, while Parliamentarian losses in the battle itself were far lighter, though not negligible.","The Langport battlefield lies in a landscape of ridges, lanes and low-lying fields around the River Yeo and its tributaries, where steep approaches and narrow ways shaped the Parliamentarian advance. Much of the area remains rural, with hedged fields and small valleys that help visitors appreciate the difficulties faced by royalist troops retreating under pressure and the advantages enjoyed by the well-organised New Model Army. There is no large, single battlefield park or visitor centre devoted solely to Langport, but public roads and footpaths allow access to key points in and around the town and surrounding countryside. Interpretation is mainly through local information, guidebooks and online battlefield resources, so visitors usually need maps and background reading to connect present-day features such as lanes, ridges and river crossings to the course of the 1645 engagement.",51.044906,-2.799116,"https://www.google.com/maps?q=51.044906,-2.799116",https://www.battlefieldstrust.com/resource-centre/civil-war/battleview.asp?BattleFieldId=20,Military,,,,,
Battle of Lansdown (Hill) 1643,The English Civil War - Diane Purkiss; The English Civil War: A Military History - Peter Gaunt,"The Battle of Lansdown, fought on 5 July 1643 on the heights north of Bath, brought a Parliamentarian army under Sir William Waller into conflict with royalist forces led by Sir Ralph Hopton and Prince Maurice. Parliament's troops held strong defensive positions along stone walls and steep slopes on Lansdown Hill, and repeated royalist assaults in difficult terrain produced very heavy casualties, particularly among the famous Cornish infantry. By the end of the day Waller had withdrawn from the hill, leaving the royalists in possession of the immediate ground but at such cost that they were unable to exploit the result and soon had to retreat after an ammunition explosion wounded Hopton. Historians therefore tend to treat Lansdown as a Pyrrhic royalist success that failed to break Parliament's power in the west. Contemporary accounts suggest that several hundred, and perhaps over a thousand, men were killed or wounded, with royalist losses likely exceeding those of Parliament.","The Lansdown battlefield is a dramatic landscape of high ridges, steep slopes and stone-walled fields overlooking Bath, where much of the basic topography that shaped the 1643 fighting is still apparent. The mixture of open ground, small enclosures and patches of woodland allows visitors to appreciate the difficulty of attacking up the hill and the value of Parliament's defensive positions behind walls and hedges. Modern roads, including the A46, run across parts of the battlefield, and there are car parks and lay-bys from which short walks reach key viewpoints and monuments, such as the obelisk commemorating Sir Bevil Grenville. There is no large visitor centre dedicated solely to the battle, but on-site markers, local information and published guides, combined with good access by road and public footpaths, make Lansdown one of the more evocative Civil War hill battlefields to explore.",51.440734,-2.396555,"https://www.google.com/maps?q=51.440734,-2.396555",https://www.battlefieldstrust.com/resource-centre/civil-war/battleview.asp?BattleFieldId=21,Military,,,,,
Battle of Lewes 1264,"The First English Revolution: Simon de Montfort, Henry III and the Barons' War - Adrian Jobson; The Reign of Henry III - David Carpenter","The Battle of Lewes, fought on 14 May 1264 in Sussex, was a decisive engagement of the Second Barons' War between King Henry III, supported by his son Prince Edward, and rebel forces led by Simon de Montfort, Earl of Leicester. De Montfort, using the high ground of the Downs and a surprise early morning attack, defeated the royal army despite being outnumbered, capturing both Henry and Edward after royalist missteps and over-aggressive cavalry charges. The victory forced the king to accept the Mise of Lewes settlement, temporarily placing royal authority under baronial ",,50.880908,-0.011872,"https://www.google.com/maps?q=50.880908,-0.011872",https://www.battlefieldstrust.com/resource-centre/medieval/battleview.asp?BattleFieldId=22,Military,,,,,
Battle of Lostwithiel 21 August 1644,The English Civil War - Diane Purkiss; The English Civil War: A Military History - Peter Gaunt,"The actions around Lostwithiel in August 1644 formed part of a larger campaign in which King Charles I and royalist commanders trapped the Parliamentarian army of the Earl of Essex in Cornwall. On 21 August fighting near Lostwithiel and along key approaches saw royalist forces press Parliament's outposts and constrict their positions, helping to sever supply routes and tighten the encirclement. These combats, together with subsequent manoeuvres, led to the collapse of Essex's campaign: his infantry eventually surrendered and his cavalry escaped only by a difficult breakout, delivering one of Parliament's worst setbacks of the war. Contemporary accounts and later estimates suggest that, taken together with the surrender that followed, thousands of Parliamentarian soldiers were lost through capture, desertion and casualties, while royalist battlefield losses in the initial fighting appear to have been significantly lighter.","The Lostwithiel battlefield area on 21 August 1644 comprises a mixture of rolling countryside, lanes, woods and enclosed fields around the town and the River Fowey, reflecting the confined, broken ground in which much of the skirmishing and pressure took place. Today the landscape remains predominantly rural and wooded, with steep-sided valleys and narrow routes that help visitors understand how Essex's army was squeezed and its movements restricted. Modern roads, housing and agricultural changes have altered some details, but many of the hillsides and approaches to Lostwithiel still convey a sense of the difficulties of campaigning in this part of Cornwall. There is no single battlefield park or large visitor centre dedicated specifically to the 21 August actions, and access is via town streets, country roads and public footpaths, with interpretation relying on local information, plaques and external guides that link surviving features to the stages of the royalist encirclement.",50.418222,-4.652923,"https://www.google.com/maps?q=50.418222,-4.652923",https://www.battlefieldstrust.com/resource-centre/civil-war/battleview.asp?BattleFieldId=88,Military,,,,,
